NO CLIENTE,NÚMERO DE PEDIDO,NOMBRE DEL CLIENTE,DESTINO,FECHA DE ENVÍO,PROMESA DE ENTREGA,FECHA DE ENTREGA REAL,FLETERA,NÚMERO DE GUÍA,COSTO DE LA GUÍA,CANTIDAD DE CAJAS,COMENTARIOS
C05901,233181,HOLIDAY INN EXPRESS SILAO (MILENIUM) (BJXAS),"SILAO, GTO",09/01/2026,13/01/2026,10/01/2026,TRES GUERRAS,GLZ02770684,1740,29,Sin Informacion
C09623,233182,RICARDA LOPEZ MORALES,"LOS CABOS, BCS",09/01/2026,16/01/2026,09/01/2026,SOLO FACTURA,NA,NA,1,Sin Informacion
C09624,233183,SOM DOS,"PLAYA DEL  CARMEN, QR",09/01/2026,16/01/2026,09/01/2026,SOLO FACTURA,NA,NA,1,Sin Informacion
C08147,233184,CITY EXPRESS PLUS SANTA FE (CESFE),"CUAJIMALPA DE MORELOS, DF2",09/01/2026,13/01/2026,,EXXPREZO,,,26,
C08664,233186,CITY EXPRESS PLUS GUADALAJARA PROVIDENCIA (CPGDL),"GUADALAJARA, JAL",09/01/2026,13/01/2026,,LOCAL,NA,NA,17,Sin Informacion
C08593,233187,HILTON GRAND VACATIONS LLC  CABO AZUL RESORT (SJDCA),"SAN JOSE DEL CABO, BCS",09/01/2026,16/01/2026,00/01/1900,TRES GUERRAS,GLZ02770591,4496.31,39,Sin Informacion
C00349,233188,HOTEL VISTA EXPRESS MORELIA,"MORELIA, MCH",09/01/2026,14/01/2026,00/01/1900,TRES GUERRAS,GLZ02770585,720,12,Sin Informacion
C08997,233189,MARCOS ALFREDO RAMOS SANDOVAL,"DELICIAS, CHI",09/01/2026,14/01/2026,,TINY PACK,GD 3461372,140,2,Sin Informacion
C03416,233192,HOTEL VIA REAL,"GUADALAJARA, JAL",09/01/2026,13/01/2026,09/01/2026,LOCAL,NA,NA,1,Sin Informacion
C09394,233193,HALTUS HOPE,"PUEBLA, PUE",09/01/2026,13/01/2026,00/01/1900,TRES GUERRAS,GLZ02771027,400.02,3,01 RECIBIDO EN BODEGA EMBARQUES
C08202,233194,INMOBILIARIA DE LAS RIAS BAJAS SA DE CV,"CULIACAN, SIN",09/01/2026,14/01/2026,,TINY PACK,GDL 45890,345.46,6,Sin Informacion
C08907,233196,HOTEL JARDÍN DEL CANTADOR,"CELAYA, GTO",09/01/2026,13/01/2026,00/01/1900,TRES GUERRAS,GLZ02770552,400,4,Sin Informacion
C09427,233197,DOWNTOWN LUXURY SUITES,"DELICIAS, CHI",09/01/2026,14/01/2026,00/01/1900,TRES GUERRAS,GLZ02770540,623,7,Sin Informacion
C01664,233198,MOTEL MAIORIS JESUS KUMATE,"CULIACAN, SIN",09/01/2026,14/01/2026,,SINALOA EXPRESS,,,18,
C03926,233199,HILTON SANTA FE CIUDAD DE MEXICO (MEXSA),"ALVARO OBREGON, CMX",09/01/2026,13/01/2026,,EXXPREZO,0,,15,
C07304,233200,CITY EXPRESS MONTERREY AEROPUERTO (CEMTA),"APODACA, NL",09/01/2026,13/01/2026,,EXXPREZO,,,16,
C07206,233201,CITY SUITES TIJUANA RIO (CSTIR),"TIJUANA, BC",09/01/2026,16/01/2026,00/01/1900,TRES GUERRAS,GLZ02770529,1068,12,Sin Informacion
C07241,233202,CITY EXPRESS MATAMOROS (CEMAT),"MATAMOROS, TAM",09/01/2026,14/01/2026,,CASTORES,,,16,
C07184,233203,CITY EXPRESS SAN LUIS POTOSI ZONA INDUSTRIAL (CESLP),"SAN LUIS POTOSI, SLP",09/01/2026,13/01/2026,,EXXPREZO,,,6,
C02478,233204,CITY EXPRESS PUEBLA FINSA (CEPAU),"CUAUTLANCINGO, PUE",09/01/2026,13/01/2026,10/01/2026,TRES GUERRAS,GLZ02770514,660,11,Sin Informacion
C09625,233205,GALS AND PALS PROYECTO,"TULUM, QR",09/01/2026,16/01/2026,09/01/2026,SOLO FACTURA,NA,NA,2,Sin Informacion
C09626,233206,YOLIHUANI CENTRO NATURISTA DEL VALLE,"CALVILLO, AGS",09/01/2026,13/01/2026,09/01/2026,SOLO FACTURA,NA,NA,1,Sin Informacion
C09626,233207,YOLIHUANI CENTRO NATURISTA DEL VALLE,"CALVILLO, AGS",09/01/2026,13/01/2026,09/01/2026,SOLO FACTURA,NA,NA,1,Sin Informacion
C08787,233208,HOTEL & SUITES REAL DEL LAGO,"CENTRO, TAB",09/01/2026,14/01/2026,00/01/1900,TRES GUERRAS,GLZ02770505,1424,16,Sin Informacion
C08165,233209,HOTEL VILLAS DEL PALMAR,"PTO. VALLARTA, JAL",09/01/2026,14/01/2026,,SANCHEZ,2842144,2194.28,47,Sin comentarios
C03880,233210,HOTEL QUINTA SAN CARLOS,"GUADALAJARA, JAL",09/01/2026,13/01/2026,09/01/2026,SOLO FACTURA,NA,NA,3,Sin Informacion
C04913,233212,PRESIDENTE INTERCONTINENTAL COZUMEL,"COZUMEL, QR",09/01/2026,23/01/2026,00/01/1900,TRES GUERRAS,GLZ02771359,2167.5,17,01 RECIBIDO EN BODEGA EMBARQUES
C09117,233214,BEST WESTERN PLUS MORELIA,"MORELIA, MCH",10/01/2026,14/01/2026,,TRES GUERRAS,0,0,39,Sin Informacion
